Unique_Transcript_Header,Orthogroup,Gene_Symbols,Transcript_Header,Seq_Location_of_Transcript,Sample,TPM,NumReads
Ec_actinula_t.66208..2940-1282,OG0000024,PKD1L3,Ec_actinula_t.66208,2940-1282,STG_4_R3,45.265,8215.06
Ec_actinula_t.66208..4060-2882,OG0000024,PKD1L3,Ec_actinula_t.66208,4060-2882,STG_4_R3,45.265,8215.06
Ec_actinula_t.66208..2940-1282,OG0000024,PKD1L3,Ec_actinula_t.66208,2940-1282,STG_5_R1,40.5437,5574.46
Ec_actinula_t.66208..4060-2882,OG0000024,PKD1L3,Ec_actinula_t.66208,4060-2882,STG_5_R1,40.5437,5574.46
Ec_actinula_t.66208..2940-1282,OG0000024,PKD1L3,Ec_actinula_t.66208,2940-1282,STG_4_R2,40.1035,5692.38
Ec_actinula_t.66208..4060-2882,OG0000024,PKD1L3,Ec_actinula_t.66208,4060-2882,STG_4_R2,40.1035,5692.38
Ec_actinula_t.66208..2940-1282,OG0000024,PKD1L3,Ec_actinula_t.66208,2940-1282,STG_4_R4,38.5575,7353.37
Ec_actinula_t.66208..4060-2882,OG0000024,PKD1L3,Ec_actinula_t.66208,4060-2882,STG_4_R4,38.5575,7353.37
Ec_actinula_t.66208..2940-1282,OG0000024,PKD1L3,Ec_actinula_t.66208,2940-1282,STG_3_R6,33.6728,5760.79
Ec_actinula_t.66208..4060-2882,OG0000024,PKD1L3,Ec_actinula_t.66208,4060-2882,STG_3_R6,33.6728,5760.79
Ec_actinula_t.66208..2940-1282,OG0000024,PKD1L3,Ec_actinula_t.66208,2940-1282,STG_4_R5,28.3419,4463.82
Ec_actinula_t.66208..4060-2882,OG0000024,PKD1L3,Ec_actinula_t.66208,4060-2882,STG_4_R5,28.3419,4463.82
Ec_actinula_t.66208..2940-1282,OG0000024,PKD1L3,Ec_actinula_t.66208,2940-1282,STG_5_R2,25.5447,4002.63
Ec_actinula_t.66208..4060-2882,OG0000024,PKD1L3,Ec_actinula_t.66208,4060-2882,STG_5_R2,25.5447,4002.63
Ec_actinula_t.66208..2940-1282,OG0000024,PKD1L3,Ec_actinula_t.66208,2940-1282,STG_3_R4,23.5025,2431.76
Ec_actinula_t.66208..4060-2882,OG0000024,PKD1L3,Ec_actinula_t.66208,4060-2882,STG_3_R4,23.5025,2431.76
Ec_actinula_t.66208..2940-1282,OG0000024,PKD1L3,Ec_actinula_t.66208,2940-1282,STG_3_R1,22.9203,3138.95
Ec_actinula_t.66208..4060-2882,OG0000024,PKD1L3,Ec_actinula_t.66208,4060-2882,STG_3_R1,22.9203,3138.95
