Ec_actinula_t.70116	d11fd2d7936d47c00314ea374185a0e2	1853	ProSitePatterns	PS60024	Agouti domain signature.	958	1000	-	T	04-09-2020	IPR027300	Agouti domain	GO:0005102
Ec_actinula_t.80990	fbc0a6223546d8183d089102d75116ef	5438	ProSitePatterns	PS00222	Insulin-like growth factor-binding protein (IGFBP) N-terminal domain signature.	4418	4433	-	T	04-09-2020	IPR017891	Insulin-like growth factor binding protein, N-terminal, Cys-rich conserved site	
Ec_actinula_t.80990	fbc0a6223546d8183d089102d75116ef	5438	ProSiteProfiles	PS51323	Insulin-like growth factor-binding protein (IGFBP) N-terminal domain profile.	3563	3631	8.638	T	04-09-2020	IPR000867	Insulin-like growth factor-binding protein, IGFBP	GO:0005520|GO:0005576
Ec_actinula_t.68720	d4967ba654c21fb0e0c58f651d9173c9	2305	MobiDBLite	mobidb-lite	consensus disorder prediction	76	167	-	T	04-09-2020
Ec_actinula_t.52194	dc728cb7135c310858dbe731615f5f6d	10875	MobiDBLite	mobidb-lite	consensus disorder prediction	1	21	-	T	04-09-2020
Ec_actinula_t.52719	0cb935c55b103799b3d6600f9ad7d2e2	4118	ProSitePatterns	PS01177	Anaphylatoxin domain signature.	3867	3902	-	T	04-09-2020	IPR000020	Anaphylatoxin/fibulin	GO:0005576
Ec_actinula_t.67935	4efee21ad364a833dc19a9b238158046	2670	MobiDBLite	mobidb-lite	consensus disorder prediction	2215	2306	-	T	04-09-2020
Ec_actinula_t.54287	daff73cdb2cf3349b0564e03328b02e6	2583	ProSitePatterns	PS00222	Insulin-like growth factor-binding protein (IGFBP) N-terminal domain signature.	1786	1801	-	T	04-09-2020	IPR017891	Insulin-like growth factor binding protein, N-terminal, Cys-rich conserved site	
Ec_actinula_t.55570	c264a014a5c9bbe1c3a98cf9ab605ae4	2044	MobiDBLite	mobidb-lite	consensus disorder prediction	64	84	-	T	04-09-2020
Ec_actinula_t.55570	c264a014a5c9bbe1c3a98cf9ab605ae4	2044	ProSitePatterns	PS00222	Insulin-like growth factor-binding protein (IGFBP) N-terminal domain signature.	1995	2010	-	T	04-09-2020	IPR017891	Insulin-like growth factor binding protein, N-terminal, Cys-rich conserved site	
Ec_actinula_t.69671	88666e08a24b47ec59ece7eb1e3a82ff	1985	ProSitePatterns	PS00222	Insulin-like growth factor-binding protein (IGFBP) N-terminal domain signature.	233	248	-	T	04-09-2020	IPR017891	Insulin-like growth factor binding protein, N-terminal, Cys-rich conserved site	
Ec_actinula_t.103800	937b97208997b164c2a0c887a9fab357	1939	MobiDBLite	mobidb-lite	consensus disorder prediction	35	54	-	T	04-09-2020
Ec_actinula_t.97389	8eceaed88dac1a1d8d3f6665e0e3f137	1629	MobiDBLite	mobidb-lite	consensus disorder prediction	1	81	-	T	04-09-2020
